strain	cluster
USA/WA-CDC-UW22030680819/2022	90
USA/WA-CDC-UW22030355728/2022	91
USA/WA-CDC-UW22030109509/2022	92
USA/WA-CDC-UW22030156950/2022	92
USA/WA-CDC-UW22030214060/2022	93
USA/WA-S19072/2022	94
USA/WA-CDC-UW22030346773/2022	95
USA/WA-CDC-UW22030169010/2022	96
USA/WA-CDC-UW22030111885/2022	96
USA/WA-CDC-UW22030154264/2022	97
USA/WA-CDC-UW22021227973/2022	98
USA/WA-CDC-UW22030167630/2022	98
USA/WA-CDC-UW22030142932/2022	99
USA/WA-CDC-UW22022820585/2022	100
USA/WA-CDC-UW22022812972/2022	100
USA/WA-CDC-UW22030157634/2022	101
USA/WA-CDC-UW22030377648/2022	102
USA/WA-UW-22030560560/2022	102
USA/WA-CDC-UW22030170015/2022	103
USA/WA-UW-22030687657/2022	104
USA/WA-CDC-UW22030517881/2022	105
USA/WA-CDC-UW22021253095/2022	106
USA/WA-CDC-UW22022511549/2022	107
USA/WA-CDC-UW22030256268/2022	108
USA/WA-CDC-UW22022838831/2022	109
USA/WA-CDC-UW22030190885/2022	109
USA/WA-CDC-UW22021519722/2022	109
USA/WA-CDC-UW22030128779/2022	110
USA/WA-CDC-UW22022628385/2022	111
USA/WA-CDC-UW22030189870/2022	112
USA/WA-CDC-UW22030198439/2022	113
USA/WA-CDC-UW22030144851/2022	114
USA/WA-CDC-UW22030496332/2022	115
USA/WA-CDC-UW22030669453/2022	116
USA/WA-CDC-UW22021931782/2022	117
USA/WA-CDC-UW22022582575/2022	117
USA/WA-CDC-UW22021676395/2022	117
USA/WA-CDC-UW22021602271/2022	117
USA/WA-CDC-UW22030298639/2022	118
USA/WA-PHL-015942/2022	119
USA/WA-S19151/2022	120
USA/WA-S19152/2022	120
USA/WA-PHL-016155/2022	121
USA/WA-PHL-015927/2022	122
USA/WA-CDC-UW22021590765/2022	123
USA/WA-PHL-014917/2022	123
USA/WA-S16145/2022	124
USA/WA-S16051/2022	125
USA/WA-S16060/2022	125
USA/WA-S16047/2022	125
USA/WA-CDC-UW21123093094/2021	126
USA/WA-UW-22021467633/2022	127
USA/WA-S17155/2022	128
USA/WA-CDC-UW22021205132/2022	129
USA/WA-CDC-UW22030539174/2022	130
USA/WA-CDC-LC0445793/2021	131
USA/WA-S17278/2022	132
USA/WA-CDC-UW21121353852/2021	133
USA/WA-S16187/2021	134
USA/WA-CDC-UW21122496962/2021	135
USA/WA-S16103/2022	136
USA/WA-S17142/2022	137
USA/WA-S17161/2022	138
USA/WA-CDC-UW22021563734/2022	139
USA/WA-CDC-UW21122894560/2021	139
USA/WA-CDC-UW21122746942/2021	139
USA/WA-CDC-UW22010212419/2022	139
USA/WA-UW-21123065557/2021	139
USA/WA-CDC-UW22021657130/2022	139
USA/WA-CDC-LC0433207/2021	140
USA/WA-S15927/2021	141
USA/WA-CDC-LC0563220/2022	142
USA/WA-CDC-UW22030699113/2022	143
USA/WA-S18002/2022	144
USA/WA-UW-21123195742/2021	145
USA/WA-CDC-UW21123172328/2021	146
USA/WA-S17210/2022	147
USA/WA-CDC-UW21123139942/2021	148
USA/WA-PHL-009577/2021	149
USA/WA-CDC-LC0490479/2022	150
USA/WA-S18031/2022	151
USA/WA-S18461/2022	152
USA/WA-CDC-UW21121783287/2021	153
USA/WA-CDC-UW22022821534/2022	154
USA/WA-CDC-UW22021404948/2022	154
USA/WA-PHL-009814/2021	155
USA/WA-CDC-ASC210642805/2021	156
USA/WA-CDC-UW22010702382/2022	157
USA/WA-CDC-UW21122498997/2021	158
USA/WA-CDC-UW22011021118/2022	158
USA/WA-CDC-UW21121438385/2021	158
USA/WA-CDC-UW21121457418/2021	158
USA/WA-UW-22010815153/2022	158
USA/WA-CDC-UW22010521954/2022	158
USA/WA-UW-22021699219/2022	159
USA/WA-CDC-UW21121453468/2021	160
USA/WA-CDC-UW22010829769/2022	161
USA/WA-CDC-UW22010899215/2022	162
USA/WA-CDC-UW22020999318/2022	162
USA/WA-CDC-UW21121430073/2021	163
USA/WA-CDC-UW21121853723/2021	164
USA/WA-CDC-UW22010715634/2022	165
USA/WA-CDC-LC0455201/2021	166
USA/WA-CDC-UW22020959802/2022	167
USA/WA-PHL-009655/2021	168
USA/WA-S15802/2021	169
USA/WA-CDC-UW22011089213/2022	170
USA/WA-S16515/2021	171
USA/WA-S16464/2021	172
USA/WA-S18042/2022	173
USA/WA-UW-22021811047/2022	174
USA/WA-S16721/2022	175
USA/WA-CDC-LC0538272/2022	176
USA/WA-S19194/2022	177
USA/WA-CDC-UW21121615473/2021	178
USA/WA-UW-22011030080/2022	178
USA/WA-UW-22011026792/2022	178
USA/WA-S15777/2021	179
USA/WA-S18209/2022	180
USA/WA-CDC-UW22010446481/2022	181
USA/WA-PHL-009839/2021	182
USA/WA-UW-22022473784/2022	183
USA/WA-UW-22022215185/2022	184
USA/WA-UW-22030686294/2022	185
USA/WA-CDC-LC0422018/2021	186
USA/WA-S18051/2022	187
USA/WA-UW-22011097699/2022	188
USA/WA-S18180/2022	189
USA/WA-S16114/2022	190
USA/WA-CDC-LC0484237/2022	191
USA/WA-CDC-LC0538647/2022	191
USA/WA-CDC-UW21122872238/2021	191
USA/WA-CDC-ASC210559757/2021	191
USA/WA-CDC-UW22030557714/2022	192
USA/WA-UW-21122002406/2021	193
USA/WA-UW-22021286162/2022	194
USA/WA-CDC-UW22020872086/2022	194
USA/WA-S17979/2022	195
USA/WA-S17065/2022	196
USA/WA-S16876/2022	197
USA/WA-CDC-UW21122789688/2021	198
USA/WA-CDC-UW21122162920/2021	199
USA/WA-CDC-UW22011071393/2022	199
USA/WA-CDC-UW22010290320/2022	199
USA/WA-CDC-UW21122864618/2021	199
USA/WA-CDC-UW21123162414/2021	199
USA/WA-CDC-UW21122748461/2021	199
USA/WA-CDC-UW21122717814/2021	199
USA/WA-CDC-UW21123192251/2021	199
USA/WA-UW-21123036401/2021	200
USA/WA-CDC-UW22010734917/2022	200
USA/WA-CDC-ASC210602544/2022	201
USA/WA-S16189/2021	202
USA/WA-PHL-016539/2021	202
USA/WA-S15982/2021	202
USA/WA-S16546/2022	203
USA/WA-S16736/2022	204
USA/WA-CDC-ASC210642126/2021	205
USA/WA-CDC-UW21122075264/2021	206
USA/WA-CDC-UW22010184447/2022	206
USA/WA-CDC-UW21121902035/2021	206
USA/WA-CDC-UW21122098894/2021	206
USA/WA-CDC-UW22010831847/2022	206
USA/WA-CDC-UW22010842454/2022	206
USA/WA-CDC-UW22010833174/2022	207
USA/WA-UW-21122164946/2021	208
USA/WA-UW-22011097077/2022	209
USA/WA-S16872/2022	210
USA/WA-CDC-LC0475596/2022	211
USA/WA-CDC-LC0471523/2022	212
USA/WA-CDC-UW22021589542/2022	213
USA/WA-S16952/2022	214
USA/WA-CDC-UW22012268160/2022	214
USA/WA-S18549/2022	214
USA/WA-CDC-UW22012269368/2022	214
USA/WA-S16479/2022	215
USA/WA-S15829/2021	216
USA/WA-S17107/2022	217
USA/WA-CDC-UW21122475577/2021	218
USA/WA-UW-22011042744/2022	219
USA/WA-CDC-LC0451422/2021	220
USA/WA-S15960/2021	221
USA/WA-S16412/2022	222
USA/WA-S17570/2022	223
USA/WA-CDC-UW22010682622/2022	224
USA/WA-UW-22011021837/2022	225
USA/WA-CDC-UW22021615472/2022	226
USA/WA-UW-21122236727/2021	227
USA/WA-CDC-UW21122076098/2021	227
USA/WA-CDC-UW22020734363/2022	228
USA/WA-CDC-UW21120833933/2021	229
USA/WA-CDC-UW21120843079/2021	229
USA/WA-CDC-UW21120882966/2021	229
USA/WA-CDC-UW22020711298/2022	230
USA/WA-CDC-LC0466428/2022	231
USA/WA-S17965/2022	232
USA/WA-S16073/2022	233
USA/WA-S16133/2022	234
USA/WA-CDC-UW22030157164/2022	235
USA/WA-UW-22021753116/2022	236
USA/WA-CDC-UW22021538518/2022	236
USA/WA-CDC-UW22022563927/2022	237
USA/WA-CDC-UW21121406381/2021	238
USA/WA-UW-21122904622/2021	238
USA/WA-CDC-UW21121765113/2021	238
USA/WA-CDC-UW21121566628/2021	238
USA/WA-CDC-UW22010820345/2022	238
USA/WA-UW-22011003728/2022	238
USA/WA-S19092/2022	238
USA/WA-CDC-UW21122721971/2021	238
USA/WA-CDC-UW21123088952/2021	238
USA/WA-CDC-UW21121876412/2021	238
USA/WA-UW-21122158410/2021	238
USA/WA-CDC-UW22010849944/2022	239
USA/WA-CDC-UW21121475948/2021	240
USA/WA-CDC-UW21121931189/2021	240
USA/WA-CDC-UW21122935749/2021	241
USA/WA-UW-21122452032/2021	242
USA/WA-CDC-UW21122985126/2021	243
USA/WA-CDC-UW22010835196/2022	244
USA/WA-CDC-STM-FZVKXXRF3/2021	245
USA/WA-CDC-UW21122921972/2021	245
USA/WA-CDC-UW22030293406/2022	246
USA/WA-S18968/2022	247
USA/WA-S18202/2022	248
USA/WA-CDC-UW22010881943/2022	249
USA/WA-CDC-UW22010567661/2022	250
USA/WA-CDC-ASC210581842/2022	251
USA/WA-CDC-UW22010888592/2022	252
USA/WA-CDC-UW22022826270/2022	252
USA/WA-CDC-UW21121341079/2021	253
USA/WA-CDC-UW21122408251/2021	254
USA/WA-CDC-UW21121145182/2021	255
USA/WA-CDC-UW21121275207/2021	255
USA/WA-CDC-UW21121266736/2021	256
USA/WA-CDC-UW21121434958/2021	257
USA/WA-CDC-UW22010861697/2022	258
USA/WA-CDC-LC0538651/2022	259
USA/WA-CDC-UW21121622189/2021	260
USA/WA-CDC-UW21121698029/2021	260
USA/WA-CDC-UW21121562519/2021	261
USA/WA-CDC-UW21122921511/2021	261
USA/WA-CDC-UW22010744606/2022	261
USA/WA-CDC-UW22010750882/2022	262
USA/WA-CDC-UW22010862566/2022	263
USA/WA-CDC-UW21121136715/2021	264
USA/WA-S18983/2022	265
USA/WA-CDC-UW21122450932/2021	266
USA/WA-CDC-UW21123173234/2021	267
USA/WA-CDC-UW21123110244/2021	267
USA/WA-CDC-UW21122828621/2021	267
USA/WA-CDC-UW21123106348/2021	267
USA/WA-CDC-UW21123078801/2021	267
USA/WA-CDC-UW21123112889/2021	267
USA/WA-CDC-UW21122832992/2021	267
USA/WA-CDC-UW21121186665/2021	267
USA/WA-CDC-UW21123001652/2021	267
USA/WA-UW-21123130190/2021	267
USA/WA-UW-21123135956/2021	267
USA/WA-CDC-UW21121068144/2021	267
USA/WA-CDC-UW21120953735/2021	267
USA/WA-CDC-UW21122808618/2021	267
USA/WA-CDC-UW21122842873/2021	267
USA/WA-CDC-UW21122862093/2021	267
USA/WA-CDC-UW21122846246/2021	267
USA/WA-CDC-UW21123175601/2021	267
USA/WA-CDC-UW21122798471/2021	267
USA/WA-CDC-UW21122821688/2021	267
USA/WA-CDC-UW21122726279/2021	267
USA/WA-CDC-UW21123056278/2021	267
USA/WA-CDC-UW21121338999/2021	267
USA/WA-CDC-UW21122463615/2021	267
USA/WA-CDC-UW21122746221/2021	267
USA/WA-S19312/2021	268
USA/WA-UW-22021650640/2022	269
USA/WA-UW-21122962088/2021	270
USA/WA-S16413/2022	271
USA/WA-S18137/2022	272
USA/WA-S18176/2022	273
USA/WA-CDC-UW21121497866/2021	274
USA/WA-CDC-UW21122921787/2021	274
USA/WA-CDC-UW21122476503/2021	274
USA/WA-CDC-UW22010119259/2022	274
USA/WA-CDC-UW21122421906/2021	274
USA/WA-CDC-UW22010856644/2022	274
USA/WA-CDC-UW21122407721/2021	274
USA/WA-CDC-UW21122413670/2021	274
USA/WA-CDC-UW22021411728/2022	274
USA/WA-CDC-UW22010855110/2022	274
USA/WA-CDC-UW22010204279/2022	274
USA/WA-UW-21123052949/2021	274
USA/WA-CDC-UW21121790984/2021	275
USA/WA-UW-21122207098/2021	275
USA/WA-UW-21123052002/2021	276
USA/WA-CDC-UW21121500453/2021	277
USA/WA-CDC-LC0456911/2022	278
USA/WA-CDC-UW22020419082/2022	279
USA/WA-CDC-LC0537637/2022	280
USA/WA-CDC-UW22030173065/2022	280
USA/WA-UW-22021218848/2022	280
USA/WA-CDC-UW22021468004/2022	280
USA/WA-CDC-LC0446103/2021	280
USA/WA-S17572/2022	280
USA/WA-S17639/2022	280
USA/WA-CDC-UW21121598941/2021	280
USA/WA-CDC-UW21122403804/2021	280
USA/WA-CDC-UW21122781710/2021	280
USA/WA-CDC-UW21121750938/2021	280
USA/WA-CDC-UW22010488590/2022	280
USA/WA-UW-21122908667/2021	280
USA/WA-CDC-UW21123020189/2021	280
USA/WA-S17985/2022	281
USA/WA-S17085/2022	282
USA/WA-S16176/2021	283
USA/WA-CDC-LC0450977/2021	284
USA/WA-S15924/2021	285
USA/WA-CDC-LC0437447/2021	286
USA/WA-S17857/2021	287
USA/WA-CDC-LC0553014/2022	288
USA/WA-CDC-FG-237513/2022	289
USA/WA-S18819/2022	290
USA/WA-S16980/2022	291
USA/WA-CDC-LC0474010/2022	292
USA/WA-S16562/2022	292
USA/WA-CDC-UW22010435182/2022	292
USA/WA-S16598/2022	293
USA/WA-S17204/2022	294
USA/WA-CDC-UW22021040315/2022	295
USA/WA-CDC-LC0557147/2022	295
USA/WA-S18657/2022	296
USA/WA-S16391/2022	297
USA/WA-S16117/2022	297
USA/WA-S16123/2022	297
USA/WA-CDC-UW22010844387/2022	298
USA/WA-S18721/2022	299
USA/WA-UW-22011040931/2022	300
USA/WA-CDC-UW21121562610/2021	301
USA/WA-PHL-008655/2021	302
USA/WA-UW-21122146275/2021	303
USA/WA-CDC-UW21121581775/2021	303
USA/WA-PHL-009700/2021	303
USA/WA-UW-21122143053/2021	304
USA/WA-S15863/2021	305
USA/WA-S17016/2022	306
USA/WA-S17663/2022	307
USA/WA-CDC-UW21121348194/2021	308
USA/WA-CDC-UW21121485986/2021	308
USA/WA-S16684/2022	308
USA/WA-PHL-009498/2021	308
USA/WA-CDC-UW22010498029/2022	309
USA/WA-UW-22011048128/2022	310
USA/WA-CDC-UW21121606416/2021	311
USA/WA-CDC-UW22011064883/2022	312
USA/WA-CDC-UW21121016581/2021	312
USA/WA-CDC-UW21121758686/2021	312
USA/WA-CDC-UW21120943599/2021	312
USA/WA-CDC-UW21121144562/2021	312
USA/WA-CDC-UW21121692868/2021	312
USA/WA-CDC-UW21121636847/2021	312
USA/WA-CDC-UW21121529489/2021	312
USA/WA-CDC-UW21121800951/2021	312
USA/WA-CDC-UW21122153136/2021	312
USA/WA-CDC-UW21121706920/2021	312
USA/WA-CDC-UW22010423107/2022	312
USA/WA-CDC-UW21121377208/2021	312
USA/WA-CDC-UW22011050294/2022	312
USA/WA-CDC-UW22010864468/2022	312
USA/WA-CDC-UW21121833125/2021	312
USA/WA-CDC-UW21121948977/2021	312
USA/WA-CDC-UW21121520926/2021	312
USA/WA-CDC-UW22011043381/2022	312
USA/WA-CDC-UW22010711989/2022	312
USA/WA-CDC-UW22011099252/2022	312
USA/WA-CDC-UW22010714310/2022	312
USA/WA-CDC-UW22011015307/2022	312
USA/WA-CDC-UW22010878606/2022	312
USA/WA-PHL-009887/2021	313
USA/WA-CDC-UW21121665318/2021	313
USA/WA-CDC-UW21122726681/2021	314
USA/WA-CDC-UW22011095662/2022	315
USA/WA-PHL-009635/2021	316
USA/WA-PHL-009758/2021	317
USA/WA-CDC-UW21122999677/2021	318
USA/WA-PHL-009554/2021	319
USA/WA-CDC-UW21121397778/2021	320
USA/WA-CDC-LC0557022/2022	321
USA/WA-CDC-LC0496815/2022	322
USA/WA-CDC-UW22011226180/2022	322
USA/WA-PHL-012942/2022	323
USA/WA-S17417/2022	324
USA/WA-CDC-LC0471582/2022	325
USA/WA-CDC-LC0450969/2021	326
USA/WA-CDC-UW22020744758/2022	327
USA/WA-PHL-008002/2021	328
USA/WA-PHL-009797/2021	328
USA/WA-CDC-UW21123041937/2021	329
USA/WA-CDC-UW21121328583/2021	330
USA/WA-PHL-009519/2021	330
USA/WA-CDC-UW21121463989/2021	330
USA/WA-PHL-009556/2021	330
USA/WA-CDC-LC0437410/2021	330
USA/WA-PHL-009709/2021	330
USA/WA-CDC-UW21121025304/2021	330
USA/WA-ALTCOV-WOTQ2WDAWIXOH3XX/2021	330
USA/WA-PHL-009520/2021	330
USA/WA-PHL-009790/2021	330
USA/WA-PHL-009707/2021	330
USA/WA-CDC-UW21121495729/2021	331
USA/WA-PHL-009557/2021	331
USA/WA-PHL-009555/2021	331
USA/WA-PHL-009624/2021	332
USA/WA-UW-22010482468/2022	333
USA/WA-S16428/2022	334
USA/WA-S15891/2021	335
USA/WA-CDC-UW21122866061/2021	336
USA/WA-S17574/2022	337
USA/WA-S18486/2022	337
USA/WA-CDC-LC0555722/2022	337
USA/WA-S19315/2021	338
USA/WA-CDC-LC0471641/2022	339
USA/WA-PHL-016443/2022	340
USA/WA-S18310/2022	341
USA/WA-CDC-UW22030353476/2022	342
USA/WA-CDC-UW22030340298/2022	342
USA/WA-CDC-UW21122958452/2021	343
USA/WA-UW-22011056914/2022	344
USA/WA-S17156/2022	345
USA/WA-S18377/2022	346
USA/WA-S17498/2022	347
USA/WA-PHL-014823/2022	348
USA/WA-CDC-UW21123142070/2021	349
USA/WA-S16790/2022	350
USA/WA-S15719/2021	351
USA/WA-UW-22010719049/2022	351
USA/WA-PHL-008037/2021	351
USA/WA-CDC-LC0452585/2021	352
USA/WA-CDC-LC0514708/2022	353
USA/WA-CDC-UW22020256847/2022	353
USA/WA-CDC-LC0452785/2021	354
USA/WA-CDC-UW21123187695/2021	354
USA/WA-PHL-009793/2021	354
USA/WA-S16959/2022	355
USA/WA-CDC-UW22030534077/2022	356
USA/WA-CDC-UW22030590702/2022	356
USA/WA-CDC-UW22030599548/2022	356
USA/WA-S16593/2022	357
USA/WA-S16122/2022	357
USA/WA-S16776/2022	357
USA/WA-CDC-UW22030304250/2022	357
USA/WA-CDC-UW22022840042/2022	357
USA/WA-CDC-UW22030328866/2022	357
USA/WA-UW-22022314278/2022	357
USA/WA-CDC-UW21121651025/2021	358
USA/WA-S16663/2022	359
USA/WA-CDC-LC0443565/2021	360
USA/WA-S18604/2022	361
USA/WA-PHL-013967/2022	362
USA/WA-CDC-UW21122061518/2021	363
USA/WA-PHL-014142/2022	364
USA/WA-S17830/2021	365
USA/WA-CDC-UW22010214311/2022	366
USA/WA-CDC-LC0484115/2022	367
USA/WA-S19307/2021	368
USA/WA-PHL-009662/2021	368
USA/WA-PHL-009670/2021	368
USA/WA-CDC-LC0496318/2022	369
USA/WA-CDC-UW22020742307/2022	370
USA/WA-PHL-015794/2022	370
USA/WA-PHL-009553/2021	371
USA/WA-CDC-LC0445666/2021	372
USA/WA-S18211/2022	373
USA/WA-S17734/2022	374
USA/WA-S16795/2022	375
USA/WA-S16954/2022	376
USA/WA-S16737/2022	377
USA/WA-CDC-LC0537641/2022	378
USA/WA-UW-22021737766/2022	379
USA/WA-CDC-UW22030300129/2022	379
USA/WA-PHL-016729/2022	380
USA/WA-CDC-UW22020455730/2022	381
USA/WA-CDC-UW22011037303/2022	382
USA/WA-CDC-UW21121694738/2021	382
USA/WA-CDC-UW21121484336/2021	382
USA/WA-UW-21123142199/2021	382
USA/WA-CDC-UW21123030913/2021	382
USA/WA-PHL-009749/2021	383
USA/WA-CDC-LC0445391/2021	384
USA/WA-S17369/2022	385
USA/WA-S18112/2022	385
USA/WA-CDC-UW21121344360/2021	386
USA/WA-S15840/2021	387
USA/WA-CDC-UW21121669105/2021	387
USA/WA-S18214/2022	387
USA/WA-PHL-009756/2021	387
USA/WA-CDC-UW21122077889/2021	388
USA/WA-S17739/2022	389
USA/WA-CDC-LC0451159/2021	389
USA/WA-S16513/2021	390
USA/WA-S16590/2022	391
USA/WA-S16997/2022	392
USA/WA-UW-22020433879/2022	393
USA/WA-CDC-ASC210856384/2022	393
USA/WA-UW-22011086744/2022	394
USA/WA-S19352/2021	395
USA/WA-CDC-UW21121577270/2021	396
USA/WA-UW-21122135858/2021	397
USA/WA-S15501/2021	398
USA/WA-CDC-LC0499427/2022	399
USA/WA-CDC-UW22022166935/2022	400
USA/WA-CDC-LC0471632/2022	401
USA/WA-CDC-LC0489183/2022	402
USA/WA-CDC-UW21121498871/2021	403
USA/WA-S17839/2021	404
USA/WA-S16943/2022	405
USA/WA-CDC-LC0514219/2022	406
USA/WA-PHL-009884/2021	407
USA/WA-CDC-UW22010596738/2022	408
USA/WA-CDC-UW22010776375/2022	408
USA/WA-CDC-UW21122734413/2021	408
USA/WA-CDC-UW22020250819/2022	409
USA/WA-CDC-UW21121739641/2021	410
USA/WA-CDC-LC0450961/2021	410
USA/WA-CDC-UW21122397353/2021	410
USA/WA-CDC-UW22021889265/2022	411
USA/WA-UW-22020733500/2022	411
USA/WA-CDC-UW22010233381/2022	412
USA/WA-CDC-UW22021468228/2022	413
USA/WA-CDC-UW22022267515/2022	414
USA/WA-CDC-UW22022171117/2022	415
USA/WA-PHL-014845/2022	416
USA/WA-CDC-UW21120647693/2021	417
USA/WA-CDC-UW21120612536/2021	417
USA/WA-PHL-008004/2021	417
USA/WA-PHL-008005/2021	417
USA/WA-PHL-008013/2021	417
USA/WA-CDC-LC0426472/2021	418
USA/WA-PHL-009708/2021	419
USA/WA-UW-21122151657/2021	420
USA/WA-S19327/2021	420
USA/WA-CDC-LC0446893/2021	420
USA/WA-S15879/2021	421
USA/WA-CDC-UW21121338287/2021	422
USA/WA-PHL-009572/2021	422
USA/WA-S15810/2021	423
USA/WA-PHL-009846/2021	423
USA/WA-CDC-LC0445790/2021	424
USA/WA-CDC-UW21123191250/2021	425
USA/WA-CDC-UW21122105115/2021	426
USA/WA-S15897/2021	427
USA/WA-CDC-UW22030424015/2022	428
USA/WA-CDC-UW22030439201/2022	428
USA/WA-CDC-UW22030136872/2022	428
USA/WA-S17284/2022	429
USA/WA-S19342/2021	430
USA/WA-S15928/2021	430
USA/WA-UW-22021665941/2022	431
USA/WA-CDC-UW22030122849/2022	432
USA/WA-UW-22021824363/2022	432
USA/WA-UW-22021755794/2022	433
USA/WA-CDC-LC0556632/2022	433
USA/WA-CDC-LC0560660/2022	434
USA/WA-S18630/2022	435
USA/WA-S18823/2022	435
USA/WA-S17698/2022	436
USA/WA-S17123/2022	436
USA/WA-S16079/2022	436
USA/WA-S17711/2022	436
