strain	cluster
USA/WA-Altius-ALTCOV-KQ7NIGCK6IFDH6X4/2021	69
USA/WA-Altius-ALTCOV-R75WUUUCLHSSC5X6/2021	69
USA/WA-CDC-UW21060796023/2021	70
USA/WA-CDC-UW21060368940/2021	70
USA/WA-CDC-LC0072899/2021	71
USA/WA-UW-68604/2021	72
USA/WA-UW-68507/2021	73
USA/WA-CDC-UW21061444411/2021	74
USA/WA-CDC-UW21042701183/2021	75
USA/WA-UW-2021040962559/2021	76
USA/WA-CDC-LC0043845/2021	77
USA/WA-Altius-ALTCOV-SYMY6OFSFAAU3CUY/2021	78
USA/WA-UW-21041973636/2021	79
USA/WA-CDC-UW21051778489/2021	80
USA/WA-Altius-ALTCOV-6CM6XQQRIEIIRUW6/2021	81
USA/WA-UW-21042221421/2021	82
USA/WA-S9016/2021	83
USA/WA-S8797/2021	83
USA/WA-S9011/2021	83
USA/WA-S9014/2021	83
USA/WA-S9013/2021	83
USA/WA-S9008/2021	83
USA/WA-UW-21050861701/2021	84
USA/WA-CDC-UW21060184849/2021	85
USA/WA-CDC-UW21060172061/2021	85
USA/WA-S9009/2021	85
USA/WA-CDC-UW21071042460/2021	86
USA/WA-CDC-UW21071051288/2021	86
USA/WA-Altius-ALTCOV-JFYNXARWULX73DQQ/2021	86
USA/WA-CDC-UW21070789232/2021	86
USA/WA-Altius-ALTCOV-PAUROQDCL3TSN3W4/2021	86
USA/WA-Altius-ALTCOV-2FXD3MCJS3CCSQEK/2021	86
USA/WA-Altius-ALTCOV-CYHQZBXITXXBDCDL/2021	86
USA/WA-Altius-ALTCOV-P7UI22SNX3B6CLHW/2021	86
USA/WA-Altius-ALTCOV-Y7Q5TEDFZMAVHXRO/2021	86
USA/WA-UW-21071253252/2021	87
USA/WA-CDC-QDX26765196/2021	87
USA/WA-CDC-UW21051313670/2021	88
USA/WA-CDC-UW21060169250/2021	89
USA/WA-UW-21050424947/2021	90
USA/WA-UW-21050583571/2021	90
USA/WA-UW-64690/2021	91
USA/WA-Altius-ALTCOV-PCJUTVWO4COWNBBD/2021	92
USA/WA-Altius-ALTCOV-QPH5RFZ4QGC2G5BG/2021	93
USA/WA-Altius-ALTCOV-CPYE2XTUX66X7AVG/2021	93
USA/WA-UW-21060828263/2021	94
USA/WA-CDC-UW21061048866/2021	94
USA/WA-CDC-UW21052032974/2021	95
USA/WA-UW-2021040885804/2021	96
USA/WA-UW-21050884299/2021	97
USA/WA-UW-21050866549/2021	97
USA/WA-S7460/2021	98
USA/WA-UW-21041717812/2021	99
USA/WA-UW-21041465824/2021	99
USA/WA-UW-2021041624866/2021	100
USA/WA-UW-21042295319/2021	100
USA/WA-UW-21042226302/2021	100
USA/WA-UW-21042243539/2021	101
USA/WA-UW-2021041451806/2021	102
USA/WA-UW-2021041357868/2021	103
USA/WA-Altius-ALTCOV-5BJ27WFJZZT6C3WL/2021	104
USA/WA-Altius-ALTCOV-VI4RYDPZ35QWBDGN/2021	104
USA/WA-Altius-ALTCOV-LIJYJ25SMD46EBFX/2021	105
USA/WA-UW-67357/2021	106
USA/WA-UW-21050317414/2021	107
USA/WA-Altius-ALTCOV-E23LPNKIO7BU7MUB/2021	108
USA/WA-Altius-ALTCOV-EABXHHCW32EUOHA5/2021	108
USA/WA-S4755/2021	109
USA/WA-UW-67222/2021	110
USA/WA-S6018/2021	111
USA/WA-Altius-ALTCOV-GLOHFDEL7HAJOLB5/2021	112
USA/WA-UW-2021041075202/2021	112
USA/WA-UW-2021041280751/2021	113
USA/WA-UW-67239/2021	114
USA/WA-UW-2021040504581/2021	115
USA/WA-UW-2021040977222/2021	115
USA/WA-UW-21042068221/2021	116
USA/WA-UW-2021040501208/2021	116
USA/WA-UW-2021040500938/2021	116
USA/WA-UW-2021041466916/2021	116
USA/WA-CDC-UW21042945680/2021	116
USA/WA-Altius-ALTCOV-O67ASFZTZHI42IWI/2021	116
USA/WA-Altius-ALTCOV-KD6QKZG5U4WVKLTQ/2021	116
USA/WA-UW-2021041324230/2021	117
USA/WA-UW-2021041487032/2021	117
USA/WA-UW-21042289794/2021	117
USA/WA-Altius-ALTCOV-XKGSQCRWFI4NTVD3/2021	117
USA/WA-CDC-UW21050109981/2021	118
USA/WA-UW-2021041504278/2021	119
USA/WA-UW-21041450048/2021	119
USA/WA-UW-2021041357088/2021	119
USA/WA-CDC-LC0034499/2021	120
USA/WA-CDC-UW21042746025/2021	121
USA/WA-S4807/2021	122
USA/WA-UW-2021040300774/2021	123
USA/WA-UW-66951/2021	124
USA/WA-UW-21042119341/2021	125
USA/WA-UW-21042059554/2021	126
USA/WA-UW-21041958215/2021	126
USA/WA-S7626/2021	127
USA/WA-S8418/2021	127
USA/WA-Altius-ALTCOV-35RE724ZNBVFL4CV/2021	127
USA/WA-UW-65372/2021	128
USA/WA-UW-2021040506874/2021	129
USA/WA-UW-2021040585939/2021	130
USA/WA-UW-21051253745/2021	131
USA/WA-UW-21051712901/2021	131
USA/WA-S5826/2021	132
USA/WA-S5532/2021	133
USA/WA-S5829/2021	134
USA/WA-UW-21041739009/2021	135
USA/WA-UW-21041709943/2021	135
USA/WA-UW-65912/2021	136
USA/WA-UW-67092/2021	137
USA/WA-UW-67562/2021	138
USA/WA-UW-67102/2021	139
USA/WA-UW-2021040208662/2021	140
USA/WA-UW-21041044310/2021	140
USA/WA-UW-67094/2021	141
USA/WA-Altius-ALTCOV-T2SQRKXSWTPEPNHU/2021	142
USA/WA-S8421/2021	142
USA/WA-Altius-ALTCOV-GM2K2ZFADECIUVES/2021	142
USA/WA-Altius-ALTCOV-ZQQLYZE6PDLIRFR6/2021	142
USA/WA-UW-2021040104438/2021	143
USA/WA-UW-2021040307698/2021	144
USA/WA-CDC-UW21051370249/2021	145
USA/WA-UW-21043027992/2021	145
USA/WA-UW-21042000846/2021	145
USA/WA-UW-65907/2021	146
USA/WA-UW-65908/2021	146
USA/WA-S5435/2021	147
USA/WA-S5437/2021	147
USA/WA-AG-10106323/2021	148
USA/WA-UW-21072904649/2021	149
USA/WA-UW-21072679934/2021	150
USA/WA-UW-21072281539/2021	150
USA/WA-UW-21051899191/2021	151
USA/WA-CDC-UW21052083568/2021	152
USA/WA-UW-21051868202/2021	152
USA/WA-UW-68613/2021	153
USA/WA-UW-2021041245025/2021	154
USA/WA-CDC-UW21050337856/2021	155
USA/WA-S6281/2021	156
USA/WA-UW-21041753790/2021	156
USA/WA-UW-68102/2021	156
USA/WA-UW-68973/2021	156
USA/WA-PHL-000217/2021	156
USA/WA-UW-2021040205515/2021	156
USA/WA-UW-68467/2021	156
USA/WA-PHL-000210/2021	156
USA/WA-Altius-ALTCOV-RMZAWZL32DBEZ3GX/2021	156
USA/WA-UW-2021040599403/2021	156
USA/WA-UW-2021041594882/2021	156
USA/WA-Altius-ALTCOV-H3TERTEKUXG3DLAR/2021	156
USA/WA-Altius-ALTCOV-ADCULVNKT7TTWNGK/2021	156
USA/WA-Altius-ALTCOV-O75BT5IX27BCSMSI/2021	156
USA/WA-Altius-ALTCOV-T6O4GKAXFBP3VBGU/2021	156
USA/WA-UW-69194/2021	156
USA/WA-UW-21042863353/2021	156
USA/WA-CDC-UW21042025858/2021	156
USA/WA-S8208/2021	156
USA/WA-Altius-ALTCOV-GZH7PEZIRYAO6AQF/2021	156
USA/WA-UW-21050512651/2021	156
USA/WA-UW-21042628572/2021	156
USA/WA-UW-21042859531/2021	156
USA/WA-UW-21042815663/2021	156
USA/WA-S6529/2021	157
USA/WA-CDC-LC0045498/2021	157
USA/WA-UW-2021040566158/2021	158
USA/WA-UW-21041676818/2021	159
USA/WA-S5964/2021	159
USA/WA-S5965/2021	159
USA/WA-UW-21042204444/2021	160
USA/WA-UW-21042070101/2021	160
USA/WA-UW-21042394560/2021	160
USA/WA-UW-21042416863/2021	160
USA/WA-CDC-UW21050119984/2021	160
USA/WA-UW-21041298176/2021	161
USA/WA-UW-2021040601431/2021	162
USA/WA-S6907/2021	163
USA/WA-S6811/2021	163
USA/WA-UW-2021040707491/2021	164
USA/WA-UW-2021041504018/2021	165
USA/WA-Altius-ALTCOV-AHXD776ZV6FEJFH7/2021	166
USA/WA-Altius-ALTCOV-ZR46YJK3QVD4XHSG/2021	167
USA/WA-UW-2021041495893/2021	167
USA/WA-S8235/2021	168
USA/WA-UW-21051559497/2021	168
USA/WA-UW-21051583093/2021	168
USA/WA-UW-21051509820/2021	168
USA/WA-Altius-ALTCOV-JDZSM6HWKQHHBWSF/2021	168
USA/WA-UW-21051575019/2021	168
USA/WA-CDC-UW21051237796/2021	168
USA/WA-Altius-ALTCOV-52CKVSLRQ5P5EUDP/2021	169
USA/WA-Altius-ALTCOV-34NZR2H6WAVNKBRL/2021	169
USA/WA-Altius-ALTCOV-VJGX3WRJSGMJ2BGM/2021	169
USA/WA-CDC-UW21071577999/2021	170
USA/WA-S8254/2021	171
USA/WA-CDC-LC0092022/2021	172
USA/WA-CDC-UW21060171810/2021	173
USA/WA-UW-2021040792827/2021	174
USA/WA-UW-2021040203336/2021	175
USA/WA-S6887/2021	176
USA/WA-CDC-UW21051428325/2021	177
USA/WA-UW-21052859460/2021	178
USA/WA-UW-21052727933/2021	178
USA/WA-CDC-UW21051788051/2021	179
USA/WA-Altius-ALTCOV-PACKPYH3QJNXCVHZ/2021	180
USA/WA-CDC-UW21061129981/2021	180
USA/WA-CDC-UW21061076601/2021	180
USA/WA-UW-21060876169/2021	180
USA/WA-S10373/2021	181
USA/WA-UW-65734/2021	182
USA/WA-UW-2021040706296/2021	182
USA/WA-UW-2021040787312/2021	182
USA/WA-UW-21052737324/2021	183
USA/WA-S5952/2021	184
USA/WA-UW-21042894183/2021	185
USA/WA-UW-21042864405/2021	186
USA/WA-UW-21042846161/2021	187
USA/WA-UW-21042897085/2021	187
USA/WA-UW-21042822007/2021	187
USA/WA-UW-21043067629/2021	187
USA/WA-UW-21042377432/2021	187
USA/WA-CDC-UW21060887990/2021	188
USA/WA-UW-21043092882/2021	188
USA/WA-Altius-ALTCOV-OQJVRXR4JAAXBYRQ/2021	189
USA/WA-CDC-UW21051093771/2021	189
USA/WA-CDC-UW21050524533/2021	190
USA/WA-CDC-UW21050391925/2021	190
USA/WA-S5792/2021	191
USA/WA-UW-21042954369/2021	192
USA/WA-CDC-UW21052528804/2021	193
USA/WA-CDC-UW21052550566/2021	194
USA/WA-UW-21052783245/2021	194
USA/WA-S8782/2021	194
USA/WA-Altius-ALTCOV-2D4BM5W2HYFU6KSM/2021	195
USA/WA-CDC-UW21052506498/2021	195
USA/WA-S9044/2021	195
USA/WA-Altius-ALTCOV-NU2GA3HV2Q5QL4HY/2021	195
USA/WA-Altius-ALTCOV-4M4OITU3P73AFHFB/2021	195
USA/WA-Altius-ALTCOV-L2VDBGTFPOUTHBHF/2021	195
USA/WA-Altius-ALTCOV-ICE5H4YTHGCFU2F2/2021	195
USA/WA-Altius-ALTCOV-3ZCHFXP4QMEJUSXU/2021	195
USA/WA-Altius-ALTCOV-VUO7HH576Q37NFDZ/2021	195
USA/WA-Altius-ALTCOV-VJVP7WSLVWTGBBTW/2021	196
USA/WA-Altius-ALTCOV-SSPVC7G23TA6ARVP/2021	196
USA/WA-Altius-ALTCOV-BMYDN6RR6Q6EMHEK/2021	196
USA/WA-Altius-ALTCOV-V3RPFC3YVJPK2ZBY/2021	196
USA/WA-UW-2021040738476/2021	197
USA/WA-UW-21050390921/2021	197
USA/WA-UW-2021040921981/2021	197
USA/WA-Altius-ALTCOV-R5GLLYJ7GELZQNXJ/2021	197
USA/WA-UW-21042860059/2021	198
USA/WA-UW-21050354160/2021	199
USA/WA-S8827/2021	199
USA/WA-Altius-ALTCOV-K2RFH6LT7CFVE7HJ/2021	199
USA/WA-CDC-UW21052406915/2021	199
USA/WA-S8639/2021	199
USA/WA-S8638/2021	199
USA/WA-S8780/2021	199
USA/WA-S8653/2021	199
USA/WA-Altius-ALTCOV-ZUUQQWYEV6ILCLR5/2021	199
USA/WA-Altius-ALTCOV-T5SQANWFVKWBUDR2/2021	199
USA/WA-UW-21051583011/2021	199
USA/WA-CDC-UW21051133883/2021	199
USA/WA-UW-21042346168/2021	199
USA/WA-UW-21051818545/2021	199
USA/WA-CDC-UW21051191625/2021	199
USA/WA-CDC-UW21051107049/2021	199
USA/WA-UW-21042037150/2021	199
USA/WA-UW-21041593047/2021	199
USA/WA-UW-21042538769/2021	199
USA/WA-UW-21051869812/2021	199
USA/WA-UW-21041407940/2021	199
USA/WA-UW-21051029182/2021	199
USA/WA-UW-2021041059045/2021	199
USA/WA-UW-2021040890614/2021	199
USA/WA-UW-2021041550950/2021	199
USA/WA-S6962/2021	199
USA/WA-Altius-ALTCOV-LMUJM6YZB4JYFGUG/2021	199
USA/WA-UW-21050472369/2021	200
USA/WA-UW-21041956791/2021	200
USA/WA-CDC-UW21071914186/2021	201
USA/WA-S8234/2021	202
USA/WA-UW-2021041504139/2021	202
USA/WA-S6987/2021	203
USA/WA-UW-21042628426/2021	204
USA/WA-CDC-UW21072126112/2021	205
USA/WA-CDC-UW21071987033/2021	205
USA/WA-CDC-UW21072107397/2021	205
USA/WA-UW-21050574046/2021	206
USA/WA-S9316/2021	207
USA/WA-Altius-ALTCOV-VTS6ROLDFWEECFVO/2021	208
USA/WA-UW-2021033106774/2021	209
USA/WA-UW-21041943320/2021	210
USA/WA-CDC-UW21051578219/2021	211
USA/WA-CDC-UW21051084774/2021	212
USA/WA-UW-21051084089/2021	212
USA/WA-UW-21051080624/2021	213
USA/WA-UW-21042976038/2021	213
USA/WA-S7581/2021	213
USA/WA-UW-21042956118/2021	213
USA/WA-CDC-UW21050683217/2021	214
USA/WA-UW-21061620923/2021	215
USA/WA-UW-21042181905/2021	215
USA/WA-CDC-UW21051237359/2021	216
USA/WA-PHL-000473/2021	217
USA/WA-UW-21043026583/2021	218
USA/WA-UW-21041798514/2021	219
USA/WA-UW-21041614428/2021	219
USA/WA-AG-10093605/2021	220
USA/WA-S4876/2021	220
USA/WA-Altius-ALTCOV-MM3YBCVPTP3OHGDU/2021	221
USA/WA-S7398/2021	222
USA/WA-S6866/2021	222
USA/WA-CDC-UW21042669826/2021	222
USA/WA-S6892/2021	222
USA/WA-UW-58814/2021	223
USA/WA-UW-60673/2021	223
USA/WA-UW-21042913276/2021	224
USA/WA-S4838/2021	225
USA/WA-S4822/2021	225
USA/WA-S4620/2021	225
USA/WA-S4242/2021	225
USA/WA-S4843/2021	225
USA/WA-S4245/2021	225
USA/WA-S4630/2021	225
USA/WA-S4632/2021	225
USA/WA-S4818/2021	225
USA/WA-S4827/2021	225
USA/WA-S4823/2021	225
USA/WA-S4846/2021	225
USA/WA-S4836/2021	225
USA/WA-S4845/2021	225
USA/WA-S5551/2021	225
USA/WA-S5966/2021	225
USA/WA-S5845/2021	225
USA/WA-S5597/2021	225
USA/WA-UW-2021040105524/2021	225
USA/WA-S5571/2021	225
USA/WA-S5894/2021	225
USA/WA-S5945/2021	225
USA/WA-S6287/2021	225
USA/WA-S5988/2021	225
USA/WA-S6325/2021	225
USA/WA-S6289/2021	225
USA/WA-S6310/2021	225
USA/WA-S6030/2021	225
USA/WA-S6027/2021	225
USA/WA-UW-68502/2021	225
USA/WA-CDC-LC0013206/2021	225
USA/WA-UW-AG10073193/2021	225
USA/WA-UW-62772/2021	225
USA/WA-UW-68875/2021	225
USA/WA-UW-2021040908407/2021	225
USA/WA-UW-68052/2021	225
USA/WA-UW-2021040748721/2021	225
USA/WA-UW-2021041534680/2021	225
USA/WA-UW-68435/2021	225
USA/WA-UW-68871/2021	225
USA/WA-UW-68054/2021	225
USA/WA-UW-2021040581976/2021	225
USA/WA-Altius-ALTCOV-UHLQWK5YJSEPJQAR/2021	225
USA/WA-UW-68686/2021	225
USA/WA-UW-69265/2021	225
USA/WA-S5430/2021	225
USA/WA-S5217/2021	225
USA/WA-S5166/2021	225
USA/WA-S5152/2021	225
USA/WA-S5157/2021	225
USA/WA-S5155/2021	225
USA/WA-UW-65393/2021	225
USA/WA-UW-21041693245/2021	225
USA/WA-UW-2021040509428/2021	225
USA/WA-UW-66093/2021	225
USA/WA-S5607/2021	225
USA/WA-UW-65988/2021	225
USA/WA-UW-68429/2021	225
USA/WA-AG-10111729/2021	225
USA/WA-AG-10112514/2021	225
USA/WA-AG-10112513/2021	225
USA/WA-UW-66912/2021	225
USA/WA-UW-2021040808300/2021	225
USA/WA-UW-66908/2021	225
USA/WA-UW-61686/2021	225
USA/WA-UW-66937/2021	225
USA/WA-UW-62359/2021	225
USA/WA-UW-66230/2021	225
USA/WA-UW-66221/2021	225
USA/WA-UW-65382/2021	225
USA/WA-UW-65754/2021	225
USA/WA-UW-69358/2021	225
USA/WA-UW-65786/2021	225
USA/WA-UW-66224/2021	225
USA/WA-UW-66090/2021	225
USA/WA-UW-2021033103003/2021	225
USA/WA-UW-21041691702/2021	225
USA/WA-UW-21041700093/2021	225
USA/WA-CDC-UW21052626864/2021	225
USA/WA-CDC-UW21052619856/2021	225
USA/WA-UW-2021040808883/2021	225
USA/WA-UW-21041987889/2021	225
USA/WA-UW-21042678374/2021	225
USA/WA-S9591/2021	226
USA/WA-UW-66229/2021	227
USA/WA-UW-64700/2021	228
USA/WA-UW-2021041250232/2021	229
USA/WA-UW-21041668404/2021	230
USA/WA-UW-2021041388111/2021	230
USA/WA-UW-2021033004853/2021	231
USA/WA-UW-21051500369/2021	232
USA/WA-UW-2021040505919/2021	232
USA/WA-S6077/2021	233
USA/WA-PHL-000209/2021	233
USA/WA-PHL-000213/2021	233
USA/WA-UW-2021041082268/2021	234
USA/WA-S6806/2021	235
USA/WA-S6964/2021	236
USA/WA-S7765/2021	236
USA/WA-UW-21042269180/2021	237
USA/WA-UW-21042461849/2021	238
USA/WA-Altius-ALTCOV-C753H44H5CLZTDUK/2021	239
USA/WA-Altius-ALTCOV-BQWCU2IIZEFSQNBS/2021	239
USA/WA-Altius-ALTCOV-OULHXRGHC5ZCSDRL/2021	239
USA/WA-Altius-ALTCOV-B6P2NDKI4Q7MJZBC/2021	240
USA/WA-Altius-ALTCOV-I32L467EYYNATSGA/2021	240
USA/WA-UW-21042020189/2021	240
USA/WA-UW-21041970462/2021	241
USA/WA-CDC-UW21051298380/2021	241
USA/WA-CDC-UW21051320974/2021	241
USA/WA-Altius-ALTCOV-KJ5YC6BDA2ZYUGAR/2021	241
USA/WA-Altius-ALTCOV-5SPDZRFU7U66YDX6/2021	241
USA/WA-Altius-ALTCOV-GI2QW3NQXBVQSIXM/2021	241
USA/WA-CDC-UW21042687076/2021	241
USA/WA-UW-21042408636/2021	241
USA/WA-UW-2021040771547/2021	242
USA/WA-UW-2021040914642/2021	242
USA/WA-UW-2021040818928/2021	242
USA/WA-S5150/2021	243
USA/WA-UW-21041946433/2021	244
USA/WA-S6357/2021	245
USA/WA-CDC-UW21042131843/2021	245
USA/WA-S8209/2021	246
USA/WA-S9115/2021	246
USA/WA-Altius-ALTCOV-XX7HWM7K2I36NBQ4/2021	247
USA/WA-Altius-ALTCOV-JAHSDZ2LPWK4EIGP/2021	248
USA/WA-Altius-ALTCOV-EWSJ5YM6253CP6E4/2021	249
USA/WA-Altius-ALTCOV-UIZVK43YA5NRQAXP/2021	250
USA/WA-CDC-UW21050422610/2021	251
USA/WA-CDC-UW21050486349/2021	251
USA/WA-CDC-UW21050366056/2021	252
USA/WA-CDC-UW21050615570/2021	253
USA/WA-S8176/2021	253
USA/WA-S7563/2021	254
USA/WA-Altius-ALTCOV-RAH2GY4ASO6KHNFG/2021	255
USA/WA-Altius-ALTCOV-UY7X27I2MWRUYKUG/2021	255
USA/WA-UW-21042049373/2021	256
USA/WA-Altius-ALTCOV-MTKA3HCXS7UBIVXL/2021	256
USA/WA-Altius-ALTCOV-RXVCXQLVHE2SUJGP/2021	257
USA/WA-UW-67509/2021	258
USA/WA-S8483/2021	259
USA/WA-UW-21050330170/2021	260
USA/WA-UW-2021040958763/2021	261
USA/WA-CDC-UW21052034074/2021	261
USA/WA-UW-68469/2021	262
USA/WA-CDC-UW21050632640/2021	263
USA/WA-UW-21050672928/2021	263
USA/WA-UW-21042046977/2021	264
USA/WA-UW-21042099214/2021	264
USA/WA-Altius-ALTCOV-DMMYIEHF3HSA2XV6/2021	265
USA/WA-UW-21050404059/2021	266
USA/WA-CDC-UW21052503972/2021	267
USA/WA-UW-21042128376/2021	267
USA/WA-UW-21042155296/2021	267
USA/WA-Altius-ALTCOV-YE3MX4EDDCSCOTRV/2021	267
USA/WA-Altius-ALTCOV-2OG3UTXMMEW4QNGJ/2021	267
USA/WA-Altius-ALTCOV-NZNMP6I42JFIKXBX/2021	267
USA/WA-CDC-UW21052429948/2021	267
USA/WA-UW-21052278635/2021	267
USA/WA-UW-21042772778/2021	268
USA/WA-CDC-UW21051092817/2021	268
USA/WA-CDC-UW21050364193/2021	268
USA/WA-CDC-UW21050362035/2021	269
USA/WA-CDC-UW21051026534/2021	270
USA/WA-CDC-UW21051717712/2021	271
USA/WA-UW-21041663946/2021	272
USA/WA-UW-21042648108/2021	273
USA/WA-UW-21041613438/2021	273
USA/WA-UW-2021040907480/2021	273
USA/WA-UW-21041428032/2021	274
USA/WA-Altius-ALTCOV-3IJRSGI7MO63MNRB/2021	275
USA/WA-CDC-LC0059393/2021	276
USA/WA-CDC-UW21043000900/2021	277
USA/WA-Altius-ALTCOV-TZ3OOSZV2KH7MXC6/2021	277
USA/WA-S8241/2021	278
USA/WA-CDC-UW21070832174/2021	279
USA/WA-CDC-UW21050116457/2021	280
USA/WA-CDC-LC0044697/2021	281
USA/WA-UW-67500/2021	282
USA/WA-UW-21051808085/2021	283
USA/WA-CDC-UW21051845322/2021	283
USA/WA-CDC-UW21052456019/2021	283
USA/WA-UW-21051832520/2021	283
USA/WA-Altius-ALTCOV-Y6AACLHRBFG6PCV3/2021	284
USA/WA-UW-21042438554/2021	285
USA/WA-UW-67089/2021	286
USA/WA-UW-67095/2021	287
USA/WA-UW-21042001024/2021	287
USA/WA-CDC-UW21043028294/2021	287
USA/WA-UW-21042047238/2021	287
USA/WA-UW-21041927223/2021	287
USA/WA-S8861/2021	288
USA/WA-CDC-LC0059373/2021	289
USA/WA-UW-67284/2021	290
USA/WA-Altius-ALTCOV-3LEVSPISU6LKEVES/2021	291
USA/WA-Altius-ALTCOV-SSBQWTRTJEK3A5BQ/2021	291
USA/WA-UW-2021041383209/2021	292
USA/WA-UW-2021041248058/2021	293
USA/WA-UW-2021040817734/2021	294
USA/WA-UW-68000/2021	295
USA/WA-UW-67793/2021	296
USA/WA-UW-2021033001882/2021	296
USA/WA-Altius-ALTCOV-N3CWQZKR5YXFG5QU/2021	296
USA/WA-UW-21051426156/2021	297
USA/WA-S8152/2021	298
USA/WA-S9112/2021	299
USA/WA-CDC-UW21051226243/2021	299
USA/WA-UW-21050576147/2021	299
USA/WA-UW-21051430383/2021	299
USA/WA-S8189/2021	299
USA/WA-S8194/2021	299
USA/WA-CDC-UW21051871257/2021	299
USA/WA-S8284/2021	299
USA/WA-CDC-UW21051215139/2021	300
USA/WA-CDC-UW21051321803/2021	300
USA/WA-Altius-ALTCOV-QGJGUAJVIEQECMGW/2021	300
USA/WA-CDC-UW21051784424/2021	301
